name,formula,molecular_weight,cas_number,melting_point,boiling_point,critical_temperature,critical_pressure,density_at_20C,cp_coefficients,data_sources
water,H2O,18.015,7732-18-5,273.15,373.15,647.1,22064000,997.0,4184,NIST
ethanol,C2H6O,46.068,64-17-5,159.05,351.44,514.0,6137000,789.0,2440,NIST
methane,CH4,16.043,74-82-8,90.7,111.66,190.56,4599000,422.6,2220,NIST
nitrogen,N2,28.014,7727-37-9,63.15,77.36,126.19,3396000,808.0,1040,NIST
oxygen,O2,31.999,7782-44-7,54.36,90.20,154.58,5043000,1141.0,918,NIST
carbon_dioxide,CO2,44.010,124-38-9,216.58,194.69,304.13,7375000,1977.0,846,NIST
ammonia,NH3,17.031,7664-41-7,195.41,239.82,405.40,11353000,682.0,2060,NIST
propane,C3H8,44.097,74-98-6,85.48,231.04,369.83,4251000,493.0,2520,NIST
benzene,C6H6,78.114,71-43-2,278.68,353.24,562.05,4895000,876.5,1740,NIST
toluene,C7H8,92.141,108-88-3,178.18,383.78,591.75,4126000,866.9,1710,NIST
